"id","on_date","from_currency","to_currency","rate"
"null","2017-03-25","EUR","RUB","61.686000"
"null","2017-03-25","EUR","INR","70.652000"
"null","2017-03-25","EUR","MXN","20.428000"
"null","2017-03-25","EUR","CZK","27.021000"
"null","2017-03-25","EUR","BRL","3.384500"
"null","2017-03-25","EUR","PLN","4.269500"
"null","2017-03-25","EUR","PHP","54.254000"
"null","2017-03-25","EUR","ZAR","13.482000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-26","EUR","USD","1.080500"
"null","2017-03-26","EUR","IDR","14399.000000"
"null","2017-03-26","EUR","BGN","1.955800"
"null","2017-03-26","EUR","ILS","3.934700"
"null","2017-03-26","EUR","GBP","0.866000"
"null","2017-03-26","EUR","DKK","7.437800"
"null","2017-03-26","EUR","CAD","1.444800"
"null","2017-03-26","EUR","JPY","120.090000"
"null","2017-03-26","EUR","HUF","309.810000"
"null","2017-03-26","EUR","RON","4.552700"
"null","2017-03-26","EUR","MYR","4.780000"
"null","2017-03-26","EUR","SEK","9.537300"
"null","2017-03-26","EUR","SGD","1.512600"
"null","2017-03-26","EUR","HKD","8.393300"
"null","2017-03-26","EUR","AUD","1.418200"
"null","2017-03-26","EUR","CHF","1.071800"
"null","2017-03-26","EUR","KRW","1210.400000"
"null","2017-03-26","EUR","CNY","7.440600"
"null","2017-03-26","EUR","TRY","3.917600"
"null","2017-03-26","EUR","HRK","7.419800"
"null","2017-03-26","EUR","NZD","1.540100"
"null","2017-03-26","EUR","THB","37.353000"
"null","2017-03-26","EUR","NOK","9.179300"
"null","2017-03-26","EUR","RUB","61.686000"
"null","2017-03-26","EUR","INR","70.652000"
"null","2017-03-26","EUR","MXN","20.428000"
"null","2017-03-26","EUR","CZK","27.021000"
"null","2017-03-26","EUR","BRL","3.384500"
"null","2017-03-26","EUR","PLN","4.269500"
"null","2017-03-26","EUR","PHP","54.254000"
"null","2017-03-26","EUR","ZAR","13.482000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-03-27","EUR","USD","1.080500"
"null","2017-03-27","EUR","IDR","14399.000000"
"null","2017-03-27","EUR","BGN","1.955800"
"null","2017-03-27","EUR","ILS","3.934700"
"null","2017-03-27","EUR","GBP","0.866000"
"null","2017-03-27","EUR","DKK","7.437800"
"null","2017-03-27","EUR","CAD","1.444800"
"null","2017-03-27","EUR","JPY","120.090000"
"null","2017-03-27","EUR","HUF","309.810000"
"null","2017-03-27","EUR","RON","4.552700"
"null","2017-03-27","EUR","MYR","4.780000"
"null","2017-03-27","EUR","SEK","9.537300"
